token	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017
alienated																		1.0																																								
alienation														1.0																																												
aliens																			2.0												2.0																											
alike									2.0	1.0					1.0						1.0			2.0						1.0			2.0				1.0					1.0		1.0		1.0			1.0									
aliment						1.0																																																				
alive																															1.0																			1.0			1.0					
all	3.0	1.0	18.0	20.0	12.0	5.0	4.0	15.0	24.0	20.0	2.0	14.0	30.0	37.0	36.0	7.0	13.0	15.0	34.0	10.0	12.0	11.0	20.0	19.0	15.0	22.0	6.0	21.0	6.0	5.0	18.0	6.0	15.0	17.0	23.0	16.0	6.0	9.0	9.0	6.0	24.0	33.0	26.0	9.0	11.0	12.0	3.0	7.0	12.0	12.0	7.0	9.0	20.0	6.0	11.0	9.0	12.0	14.0
allayed										1.0			1.0																																													
allegation																								1.0																																		
allegations																								1.0																																		
alleged													1.0	2.0										1.0																																		
alleghanies															1.0																																											
allegiance																										1.0									1.0																				1.0		1.0	2.0
alleviate										1.0																						1.0																										
alliance														1.0											1.0									1.0									1.0	2.0														
alliances				1.0									1.0		1.0	1.0		1.0																																1.0	1.0					1.0	1.0	1.0
allied														1.0																																												
allies														2.0														1.0												1.0	1.0			1.0					1.0	1.0		1.0		1.0	1.0			
allocating																																																			1.0							
allotted	1.0					1.0				2.0																																																
allow														1.0																	1.0											1.0								1.0				1.0				1.0
allowed														1.0	1.0									1.0		1.0																			1.0					1.0								
allowing																																																										1.0
allows																			1.0																											1.0					1.0							
allude												1.0																																														
allured							1.0																																																			
alluring										1.0																	1.0				1.0																											
allusion														1.0																																												
ally															1.0											1.0																								1.0								
almighty	1.0					1.0		1.0	1.0			1.0		2.0	2.0				1.0	1.0	1.0			1.0	1.0	1.0		1.0	1.0		1.0				1.0	2.0				1.0	1.0	2.0	1.0	1.0								1.0						1.0
almost								1.0	2.0			1.0		1.0	2.0		3.0	1.0				1.0	1.0		1.0			1.0							2.0				1.0		2.0		1.0						1.0	1.0		1.0						
alone				1.0	2.0	1.0	1.0	1.0		1.0			2.0	2.0	1.0		2.0	1.0					1.0	1.0	1.0			1.0						2.0	1.0	4.0	1.0		3.0	1.0	2.0	1.0	2.0		1.0	1.0			1.0	1.0	1.0	1.0	2.0			1.0	3.0	
along	1.0							1.0	2.0				1.0											1.0		1.0							1.0		1.0			1.0															1.0	1.0			1.0	1.0
alongside																																																								1.0		
aloof								1.0																																																		
aloofness																																		1.0																								
already					1.0		1.0	2.0	1.0				3.0	1.0	2.0					1.0				2.0		1.0	1.0	1.0	5.0		1.0				4.0			2.0			1.0							1.0		1.0		1.0	1.0			1.0		
also					1.0		1.0		4.0				4.0	4.0	2.0		1.0	2.0	2.0		1.0		2.0				3.0	1.0		1.0	3.0	2.0		1.0		1.0		1.0	1.0		1.0	1.0	1.0			2.0	2.0	1.0		1.0				1.0	3.0	2.0	2.0	
altar																		1.0																											1.0													
alter																																1.0	1.0											1.0														
alteration	1.0		1.0																																																							
altercation			1.0																																																							
altered			1.0																													2.0	1.0	1.0																								
alternative														1.0					1.0																																							
although														6.0	2.0		1.0	1.0															1.0			1.0																						
altogether									2.0				1.0	1.0						2.0						1.0									1.0																							
always						1.0		6.0	4.0				2.0	3.0		1.0	4.0		2.0	1.0	1.0		1.0	1.0		1.0	1.0	7.0			3.0	2.0	1.0		6.0		1.0	2.0		2.0				4.0	4.0		1.0			3.0	2.0	1.0	3.0		3.0	1.0	2.0	2.0
am	1.0	2.0			1.0	2.0		1.0	4.0	4.0		2.0	1.0	1.0	4.0	1.0	2.0		1.0			1.0	3.0	1.0	1.0	2.0	5.0	1.0	1.0		1.0	1.0	1.0	2.0	2.0	2.0	3.0	1.0					1.0				1.0				3.0			1.0	1.0			
amalgamated																															1.0																											
amass																																										1.0																
ambassadors																1.0																																										
ambiguity																																		1.0																								
ambition														1.0	2.0	1.0	1.0									1.0					1.0				1.0																	1.0						
ambitions																									1.0													1.0																1.0		2.0		
ambitious																	1.0																															1.0										
ambush																										1.0																																
amelia									1.0																																																	
amen																																										1.0								1.0	1.0							
amendatory														1.0																																												
amended																			1.0					1.0		1.0		1.0																														
amending																			1.0																																							
amendment					1.0									1.0					2.0		1.0		1.0								8.0					5.0																						
amendments														2.0					3.0						1.0						3.0																											
america		1.0	5.0						2.0				1.0					1.0						1.0							4.0		2.0	15.0	8.0	6.0		1.0	7.0	1.0		3.0	5.0	2.0	3.0	6.0	21.0	2.0	6.0	8.0	7.0	19.0	15.0	11.0	20.0	10.0	8.0	20.0
american	2.0		3.0		1.0		1.0	1.0				2.0	1.0	7.0		2.0	2.0	2.0	2.0	1.0			1.0	1.0	4.0	6.0	8.0	9.0	7.0		7.0		1.0	8.0	3.0	7.0	1.0	3.0	2.0		4.0	1.0	2.0		6.0	3.0	2.0	3.0	1.0	7.0	2.0	4.0	9.0	4.0	2.0	2.0	6.0	11.0
americanism																											1.0																															
americans																															1.0		1.0	1.0			1.0	1.0	2.0	1.0		2.0		4.0	1.0	1.0			9.0	6.0	2.0	10.0	7.0	5.0	8.0	3.0	4.0	4.0
americas																																							1.0					1.0													1.0	
amiable			2.0																																																							
amicable			1.0			1.0													1.0																																							
amicably																							1.0																																			
amid													2.0												1.0									4.0																								
amidst				1.0									1.0	1.0																			1.0																							1.0		
amity									2.0	1.0							1.0								2.0			1.0							2.0																							
amnesty																													1.0																													
among	1.0		4.0	1.0	7.0		1.0	3.0	1.0	3.0	1.0	1.0	3.0	3.0	6.0	1.0		2.0	6.0	1.0	1.0		1.0	1.0	2.0	4.0	2.0	3.0	2.0	1.0	9.0			3.0	3.0	4.0		5.0			2.0	3.0	1.0		3.0	1.0	1.0	2.0	4.0	2.0		1.0			1.0		1.0	
amongst														3.0																			1.0																									
amount					1.0			2.0					1.0	4.0	1.0			1.0										1.0										2.0																				
amounts															1.0																																											
ample													1.0		2.0	1.0		1.0	1.0					2.0		1.0		1.0						1.0	1.0																							
amply							1.0	1.0						1.0														2.0																														
an	10.0	1.0	18.0	3.0	5.0	5.0	8.0	8.0	15.0	3.0	1.0	1.0	16.0	27.0	16.0	3.0	13.0	6.0	3.0	3.0		2.0	8.0	6.0	4.0	18.0	5.0	7.0	3.0	3.0	23.0	3.0	4.0	15.0	13.0	9.0	6.0	5.0	5.0	2.0	2.0	7.0	3.0	2.0	2.0	4.0	5.0	5.0	6.0	8.0	3.0	9.0	2.0	5.0	5.0	3.0	7.0	3.0
anarchy												1.0			1.0				3.0																																							
ancestors					1.0									2.0																	1.0						1.0																			1.0		
anchor				1.0											1.0																																										1.0	
ancient			1.0	1.0				1.0	1.0	1.0			1.0	1.0				2.0																			1.0	1.0	1.0		1.0			1.0	1.0			1.0		1.0	1.0	1.0	1.0		1.0		1.0	
and	48.0	2.0	130.0	81.0	93.0	43.0	44.0	122.0	141.0	116.0	49.0	53.0	150.0	231.0	191.0	52.0	130.0	97.0	105.0	24.0	27.0	50.0	102.0	119.0	103.0	192.0	102.0	171.0	97.0	38.0	220.0	78.0	77.0	152.0	146.0	131.0	59.0	53.0	45.0	23.0	98.0	101.0	63.0	41.0	71.0	39.0	53.0	48.0	92.0	114.0	105.0	67.0	93.0	82.0	108.0	111.0	89.0	76.0
andes																																										1.0																
anew																									1.0														1.0			1.0		2.0						1.0		1.0			2.0		1.0	
angel			1.0																																																			2.0				
angels				1.0															1.0																											1.0												
anger																																																		1.0								
angry																																														2.0												
anguish																																														1.0												
anguished																																								1.0																		
animate																							1.0																																			
animated			2.0				1.0				1.0																																															
animates														1.0	1.0			2.0										1.0																														
animating																	1.0																																									
animation				1.0						1.0																																																
animosities	1.0		1.0							1.0															1.0											1.0																1.0						
animosity			1.0																																																							
annals										1.0				1.0																																												
annexation															2.0																																											
annexed															1.0																																											
annihilate																		1.0																																								
annihilation												1.0																																														
anniversary																								1.0														1.0								1.0	1.0			1.0								
announce															1.0		1.0						1.0				1.0		1.0																													
announced				1.0																			1.0																																			
announces									1.0																																																	
annoyance								1.0	2.0																																																	
annual														1.0												2.0		1.0			1.0																											
annually										1.0																																																
annul														1.0																																												
another	1.0			1.0	1.0		1.0	1.0	1.0	1.0		1.0		6.0	5.0				3.0	1.0	1.0				1.0	2.0	1.0				2.0		1.0	2.0	1.0	1.0						4.0			1.0	2.0	3.0	1.0		2.0		1.0	3.0	1.0	3.0		1.0	2.0
answer				1.0																												1.0		1.0												3.0	1.0	1.0	2.0			1.0	1.0			2.0	1.0	
answerable																	1.0																	1.0																								
answered																				2.0				1.0																				1.0														
antagonist														2.0																																												
antagonistic																												1.0																														
anthony														1.0																																												
anticipate									1.0				2.0						1.0																																							
anticipated						1.0		1.0					1.0	2.0			1.0			1.0			1.0								1.0																											
anticipating																								1.0																																		
anticipation	1.0												1.0																1.0																													
anticipations									1.0																																																	
antifederal														1.0																																												
antipathies										1.0																																																
antiphilosophists					1.0																																																					
antiquity			1.0																																																							
antirepublican				1.0											1.0																																											
antitrust																															3.0																											
ants																																													1.0													
anxieties	1.0																1.0																									1.0																
anxiety			1.0					1.0		1.0		1.0							1.0			1.0			2.0		1.0		1.0	1.0								1.0																				
anxious				1.0					1.0				1.0		1.0								1.0								1.0			1.0												1.0												
anxiously											1.0		2.0							1.0																																						
